t(s) V(mV)
0 13,5698
0,969 13,5679
1,901 13,5539
2,893 13,5267
3,892 13,4978
4,893 13,4674
5,892 13,432
6,892 13,4133
7,893 13,392
8,892 13,3603
9,892 13,3277
10,892 13,2939
11,892 13,2632
12,892 13,232
13,893 13,198
14,892 13,1632
15,893 13,1285
16,893 13,0978
17,892 13,0649
18,893 13,0322
19,892 12,9973
20,893 12,9665
21,892 12,9338
22,893 12,9012
23,892 12,8682
24,893 12,8365
25,893 12,805
26,892 12,7735
27,893 12,7424
28,898 12,7107
29,892 12,6791
30,893 12,6467
31,892 12,6178
32,893 12,5858
33,892 12,5578
34,893 12,5266
35,892 12,4972
36,893 12,4659
37,892 12,437
38,893 12,4064
39,893 12,3761
40,892 12,3464
41,893 12,3168
42,893 12,2864
43,893 12,2572
44,893 12,2277
45,893 12,1987
46,892 12,1694
47,892 12,1423
48,892 12,1098
49,893 12,0824
50,893 12,0542
51,892 12,0272
52,893 11,9986
53,893 11,9722
54,892 11,9423
55,893 11,9188
56,893 11,8909
57,892 11,8606
58,897 11,8354
59,893 11,8076
60,892 11,7803
61,892 11,7534
62,893 11,7283
63,893 11,7007
64,892 11,6745
65,892 11,645
66,893 11,6195
67,892 11,5945
68,893 11,5682
69,893 11,5412
70,897 11,5137
71,893 11,489
72,892 11,4626
73,893 11,4373
74,893 11,4079
75,892 11,3766
76,893 11,3587
77,892 11,337
78,893 11,3102
79,892 11,2851
80,892 11,2607
81,893 11,235
82,892 11,2095
83,892 11,1861
84,893 11,1603
85,892 11,1396
86,893 11,1143
87,893 11,0888
88,892 11,0649
89,893 11,0419
90,893 11,0167
91,893 10,9924
92,893 10,9697
93,892 10,9476
94,892 10,9259
95,892 10,9015
96,893 10,8782
97,892 10,8536
98,893 10,8295
99,893 10,8068
100,892 10,7819
101,892 10,7598
102,893 10,7382
103,892 10,7148
104,893 10,6906
105,893 10,6697
106,892 10,6487
107,893 10,6257
108,892 10,604
109,892 10,5808
110,891 10,5578
111,891 10,5342
112,892 10,5127
113,891 10,4909
114,891 10,4707
115,892 10,4484
116,892 10,4266
117,892 10,4031
118,892 10,3799
119,891 10,3592
120,891 10,3355
121,894 10,3105
122,891 10,2921
123,891 10,2701
124,896 10,2478
125,892 10,2273
126,891 10,2073
127,891 10,1829
128,892 10,1632
129,891 10,1418
130,892 10,1198
131,891 10,0981
132,891 10,0767
133,892 10,0542
134,891 10,0341
135,891 10,0153
136,892 9,9946
137,893 9,9756
138,892 9,9553
139,893 9,9326
140,893 9,9101
141,892 9,8901
142,892 9,8697
143,893 9,8503
144,893 9,8307
145,893 9,8076
146,892 9,7912
147,892 9,7687
148,893 9,7504
149,892 9,7297
150,892 9,7098
151,893 9,6913
152,892 9,6705
153,893 9,6519
154,892 9,6317
155,892 9,6132
156,893 9,5941
157,892 9,5757
158,892 9,5582
159,893 9,5368
160,892 9,5146
161,892 9,4973
162,893 9,4787
163,892 9,4592
164,892 9,4405
165,892 9,4226
166,898 9,4032
167,893 9,3822
168,892 9,3635
169,892 9,3451
170,893 9,3268
171,892 9,31
172,893 9,2922
173,892 9,2727
174,893 9,2522
175,892 9,2345
176,892 9,2179
177,893 9,1998
178,893 9,1808
179,893 9,1634
180,892 9,1434
181,893 9,1252
182,892 9,1065
183,892 9,0891
184,893 9,0706
185,892 9,0518
186,893 9,0346
187,892 9,0166
188,893 9,0016
189,892 8,9824
190,893 8,9637
191,893 8,9467
192,893 8,9281
193,893 8,9141
194,893 8,8948
195,892 8,877
196,892 8,8605
197,892 8,8431
198,893 8,8264
199,892 8,8088
200,892 8,7913
201,892 8,7757
202,893 8,7579
203,893 8,753
204,892 8,7368
205,892 8,7208
206,892 8,7031
207,893 8,6894
208,892 8,6716
209,892 8,6531
210,893 8,6373
211,892 8,6213
212,893 8,6051
213,892 8,5862
