t(s) V(mV)
0 15,6007
1,05 15,574
2,1 15,5482
3,136 15,5191
4,137 15,4891
5,136 15,4579
6,136 15,4283
7,136 15,3973
8,137 15,3645
9,136 15,3331
10,137 15,2986
11,137 15,2686
12,137 15,2325
13,136 15,2005
14,137 15,1666
15,136 15,1336
16,136 15,0993
17,137 15,0647
18,137 15,031
19,137 14,9977
20,137 14,9664
21,137 14,9318
22,136 14,8994
23,136 14,8652
24,136 14,8325
25,137 14,8025
26,137 14,7696
27,136 14,7369
28,136 14,7028
29,137 14,6706
30,137 14,6398
31,137 14,6067
32,137 14,5755
33,136 14,5448
34,137 14,5134
35,136 14,4806
36,137 14,4492
37,136 14,4189
38,136 14,3868
39,137 14,355
40,136 14,3249
41,137 14,295
42,137 14,2631
43,136 14,2312
44,137 14,2012
45,136 14,1689
46,137 14,1398
47,136 14,1093
48,136 14,0795
49,137 14,0505
50,136 14,0203
51,137 13,9912
52,136 13,96
53,136 13,9302
54,136 13,8983
55,137 13,8683
56,136 13,8382
57,137 13,8079
58,136 13,7798
59,136 13,7498
60,136 13,7216
61,136 13,6908
62,136 13,6605
63,136 13,63
64,137 13,602
65,136 13,5732
66,136 13,5429
67,136 13,5148
68,136 13,4843
69,137 13,4566
70,137 13,4267
71,137 13,3984
72,137 13,3678
73,137 13,3395
74,136 13,312
75,136 13,2838
76,136 13,2537
77,137 13,2265
78,137 13,1962
79,137 13,1682
80,137 13,1401
81,137 13,1168
82,136 13,0852
83,137 13,0586
84,136 13,0312
85,136 13,0013
86,137 12,9723
87,136 12,9446
88,137 12,9166
89,136 12,8894
90,137 12,8641
91,137 12,8344
92,137 12,807
93,136 12,7806
94,136 12,7543
95,137 12,7247
96,137 12,6985
97,137 12,6716
98,136 12,6462
99,137 12,6178
100,136 12,5905
101,136 12,567
102,136 12,5389
103,137 12,5117
104,136 12,4851
105,136 12,4591
106,136 12,4314
107,137 12,4059
108,137 12,3799
109,137 12,3533
110,137 12,3256
111,136 12,301
112,136 12,2772
113,136 12,2513
114,136 12,2271
115,136 12,1991
116,136 12,1754
117,137 12,1467
118,137 12,1228
119,137 12,097
120,137 12,07
121,137 12,0441
122,137 12,0195
123,137 11,9942
124,137 11,9695
125,136 11,9439
126,137 11,9211
127,137 11,8975
128,137 11,8719
129,136 11,8461
130,137 11,8207
131,137 11,7977
132,137 11,7748
133,137 11,7477
134,136 11,7228
135,136 11,699
136,137 11,6751
137,136 11,6507
138,137 11,6262
139,136 11,6029
140,137 11,5816
141,136 11,5574
142,136 11,5338
143,137 11,5097
144,137 11,4862
145,137 11,4625
146,137 11,4386
147,136 11,4159
148,136 11,3913
149,136 11,3664
150,136 11,3437
151,136 11,3191
152,137 11,2952
153,137 11,2719
154,136 11,2481
155,136 11,2236
156,137 11,1999
157,137 11,1784
158,136 11,1558
159,137 11,1314
160,136 11,1092
161,136 11,0864
162,136 11,0633
163,136 11,0392
164,136 11,0159
165,137 10,9946
166,137 10,9706
167,137 10,9453
168,137 10,9227
169,137 10,9011
170,137 10,8788
171,137 10,8551
172,137 10,8318
173,137 10,8086
174,137 10,7858
175,137 10,7626
176,137 10,7398
177,137 10,7174
178,137 10,6949
179,136 10,6734
180,136 10,6502
181,137 10,6287
182,136 10,6045
183,135 10,5814
184,135 10,5618
185,135 10,5383
186,136 10,5157
187,135 10,4938
188,135 10,4745
189,135 10,4507
190,136 10,4292
191,135 10,408
192,136 10,3855
193,135 10,3641
194,135 10,3441
195,136 10,3232
196,135 10,3043
197,135 10,2831
198,136 10,2622
199,135 10,2399
200,135 10,22
201,136 10,1953
202,136 10,1776
203,135 10,1559
204,135 10,1391
205,135 10,1224
206,136 10,0999
207,136 10,0784
208,136 10,0575
209,135 10,0373
210,135 10,0175
211,136 9,994
212,137 9,9745
213,137 9,9554
214,137 9,9347
215,136 9,9134
216,136 9,8933
217,136 9,8714
218,136 9,8524
219,136 9,8297
220,136 9,8119
221,136 9,7909
222,137 9,7715
223,136 9,7525
224,136 9,7275
225,136 9,7079
226,137 9,6905
227,137 9,6686
228,136 9,648
229,136 9,629
230,137 9,6077
231,136 9,5862
232,136 9,565
233,136 9,5456
234,136 9,526
235,136 9,5052
236,136 9,4851
237,137 9,4669
238,136 9,4477
239,137 9,428
240,136 9,4073
241,137 9,388
242,137 9,3687
243,136 9,3482
244,136 9,3277
245,136 9,3095
246,136 9,2896
247,137 9,271
248,137 9,253
249,136 9,2314
250,136 9,213
251,136 9,1926
252,136 9,172
253,137 9,1569
254,137 9,1371
255,137 9,1177
256,136 9,1001
257,136 9,0767
258,136 9,0565
259,136 9,0384
260,136 9,0218
261,137 9,004
262,137 8,9834
263,137 8,9633
264,136 8,9449
265,137 8,9238
266,136 8,9038
267,136 8,8853
268,136 8,8663
269,137 8,8454
270,137 8,8287
271,137 8,804
272,137 8,7862
273,137 8,7692
274,137 8,7492
275,137 8,7317
276,136 8,7148
277,136 8,6974
278,136 8,6802
279,136 8,6613
280,136 8,6411
281,136 8,6258
282,136 8,6086
283,136 8,5902
284,137 8,5723
285,137 8,5524
286,136 8,5347
287,136 8,5166
288,137 8,5001
289,136 8,483
290,137 8,4653
291,136 8,4448
292,137 8,4279
293,137 8,4122
294,136 8,3918
295,136 8,3772
296,137 8,3601
297,136 8,3418
298,136 8,324
299,137 8,3071
300,136 8,2916
301,137 8,2731
302,137 8,2539
303,137 8,2361
304,136 8,2203
305,136 8,2022
306,136 8,1846
307,137 8,1698
308,137 8,1519
309,136 8,1353
310,136 8,117
311,136 8,101
312,137 8,0855
313,137 8,0673
314,137 8,0498
315,137 8,0339
316,143 8,0163
317,137 8,0012
318,137 7,9836
319,137 7,9677
