t(s) V(mV)
0 12,8186
1,004 12,795
2,004 12,7716
3,004 12,744
4,003 12,7153
5,003 12,6887
6,004 12,6639
7,004 12,6361
8,003 12,6069
9,003 12,5756
10,003 12,5472
11,003 12,5173
12,004 12,4899
13,004 12,4599
14,003 12,4283
15,003 12,3989
16,004 12,3681
17,003 12,3394
18,004 12,3102
19,003 12,2783
20,003 12,2439
21,004 12,2133
22,003 12,18
23,004 12,1525
24,004 12,123
25,003 12,0934
26,004 12,0635
27,003 12,0349
28,003 12,0058
29,004 11,9789
30,003 11,9484
31,003 11,9203
32,004 11,8911
33,003 11,8608
34,004 11,8312
35,003 11,8024
36,003 11,7735
37,004 11,745
38,004 11,716
39,004 11,6869
40,004 11,6578
41,003 11,6305
42,003 11,6019
43,004 11,5752
44,003 11,5478
45,004 11,5173
46,004 11,4903
47,003 11,4627
48,003 11,4345
49,004 11,406
50,004 11,3775
51,004 11,3498
52,003 11,3225
53,003 11,2957
54,004 11,2699
55,004 11,2417
56,003 11,2137
57,003 11,1859
58,003 11,1595
59,003 11,1324
60,004 11,105
61,004 11,078
62,003 11,0516
63,003 11,0262
64,004 10,9991
65,004 10,973
66,003 10,9474
67,003 10,9208
68,003 10,8953
69,003 10,8697
70,003 10,8424
71,003 10,8142
72,004 10,792
73,003 10,7635
74,004 10,7437
75,002 10,3731
76,002 10,489
77,003 10,4873
78,002 10,4606
79,002 10,4333
80,003 10,4092
81,002 10,385
82,003 10,3579
83,003 10,3326
84,002 10,315
85,002 10,289
86,002 10,266
87,002 10,2413
88,003 10,2162
89,002 10,1904
90,003 10,1652
91,002 10,1415
92,002 10,1184
93,002 10,0931
94,002 10,0691
95,003 10,0464
96,003 10,0226
97,003 9,9991
98,003 9,9747
99,004 9,9524
100,004 9,9282
101,004 9,9071
102,003 9,8797
103,004 9,8615
104,004 9,8394
105,003 9,8153
106,003 9,7917
107,004 9,77
108,003 9,7484
109,003 9,7231
110,004 9,7006
111,003 9,6779
112,003 9,6542
113,003 9,6298
114,004 9,6078
115,003 9,5841
116,003 9,56
117,003 9,537
118,004 9,5156
119,003 9,4936
120,004 9,47
121,003 9,4472
122,003 9,4245
123,004 9,4009
124,003 9,3786
125,003 9,356
126,004 9,335
127,004 9,3099
128,003 9,2905
129,003 9,2698
130,004 9,2438
131,003 9,2235
132,003 9,1995
133,003 9,1788
134,004 9,1566
135,003 9,1363
136,004 9,1098
137,003 9,0887
138,003 9,0684
139,003 9,0456
140,003 9,0234
141,003 9,004
142,003 8,9821
143,003 8,9607
144,003 8,9377
145,003 8,9173
146,003 8,8959
147,004 8,8741
148,003 8,851
149,003 8,8312
150,004 8,8088
151,004 8,7875
152,003 8,7688
153,004 8,746
154,004 8,7255
155,003 8,704
156,003 8,6837
157,004 8,6638
158,003 8,6417
159,003 8,6226
160,003 8,6026
161,004 8,582
162,004 8,5599
163,003 8,5377
164,003 8,5198
165,004 8,5003
166,004 8,4821
167,004 8,4583
168,004 8,4396
169,003 8,4183
170,004 8,3977
171,003 8,379
172,003 8,3589
173,004 8,3492
174,003 8,387
175,004 8,3838
176,003 8,3651
177,004 8,344
178,004 8,3241
179,003 8,3045
180,003 8,2834
181,003 8,2655
182,004 8,2454
183,003 8,225
184,004 8,2066
185,003 8,1897
186,003 8,1686
187,003 8,1468
188,003 8,1296
189,004 8,1086
190,004 8,0921
191,004 8,0718
192,004 8,0518
193,004 8,0332
194,003 8,0145
195,003 7,9955
196,004 7,9731
197,003 7,9549
198,003 7,9358
199,004 7,9187
200,004 7,8994
201,003 7,8815
202,003 7,8612
203,004 7,843
204,003 7,8242
205,004 7,8053
206,003 7,7894
207,003 7,7707
208,004 7,7531
209,004 7,7357
210,003 7,7187
211,004 7,6987
212,004 7,6802
213,003 7,662
214,003 7,6457
215,004 7,626
216,003 7,6069
217,004 7,588
218,003 7,5709
219,003 7,5523
220,004 7,5355
221,003 7,5172
222,004 7,499
223,003 7,4806
224,003 7,4626
225,003 7,4451
226,004 7,4282
227,003 7,4103
228,007 7,3902
229,003 7,3748
230,004 7,3548
231,003 7,3371
232,004 7,3182
233,003 7,3031
234,004 7,2844
235,003 7,2672
236,004 7,2506
237,004 7,2335
238,003 7,2162
239,004 7,198
240,004 7,1803
241,004 7,1664
242,004 7,1479
243,004 7,1308
244,004 7,1137
245,004 7,0955
246,004 7,0797
247,003 7,0622
248,003 7,0442
249,004 7,0276
250,004 7,0119
251,003 6,996
252,004 6,9775
253,003 6,9611
254,003 6,9463
255,004 6,9289
256,003 6,9132
257,003 6,8965
258,003 6,8805
259,004 6,8668
260,003 6,8487
261,004 6,8295
262,004 6,8137
263,003 6,7975
264,004 6,7816
265,003 6,7677
266,004 6,7518
267,003 6,736
268,003 6,7198
